Originating Device,Chassis ID,Port ID,Port Description,System Name,System Description,Local Intf
10.120.0.11,0896.ad90.69b8,Gi0,GigabitEthernet0,TBMNC-OwnerOffice-AP03,,Gi1/0/15
10.120.0.11,CR-TBMNC-RM2,7c10.c9b8.e4d7,,,,Gi1/0/20
10.120.0.11,CR-TBMNC-RM1,908d.6e92.023c,,,,Gi1/0/5
10.120.0.11,CR-TBMNC-M4,7c10.c9b8.e783,,,,Te1/0/47
10.120.0.11,0896.ad90.69ec,Gi0,GigabitEthernet0,TBMNC-OwnerOffice-AP01,,Te2/0/44
10.120.0.11,2c1a.0500.3928,Gi0,GigabitEthernet0,AP2C1A-0500-3928,,Te2/0/43
10.120.0.11,2c1a.0500.3a8c,Gi0,GigabitEthernet0,AP2C1A-0500-3A8C,,Gi1/0/19
10.120.0.11,9ed1.583a.1d87,c442.6825.50f1,eth0,TS-1070-TBMNC-RM1,,Gi1/0/4
10.120.0.11,56f5.3feb.48a7,c442.680a.271c,eth0,TS-1070-C442680A271C,,Te1/0/42
10.120.0.11,b8a4.4f50.60b9,b8a4.4f50.60b9,eth0,axis-b8a44f5060b9,,Gi1/0/26
10.120.0.11,c442.680d.04d7,c442.680d.04d7,eth0,TSS-1070-TBMNC-RM2,,Gi1/0/14
10.120.0.11,c442.680a.2d47,c442.680a.2d47,eth0,TS-1070-TBMNC-RM2,,Gi1/0/9
10.120.0.11,c442.6825.a938,c442.6825.a938,eth0,TP-TBMNC-RM3,,Te1/0/44
10.120.0.11,b8a4.4f45.a68d,b8a4.4f45.a68d,eth0,axis-b8a44f45a68d,,Gi1/0/12
10.120.0.11,c442.681e.b0bd,c442.681e.b0bd,eth0,MD210-c442681eb0bd,,Te2/0/42
10.120.0.11,b8a4.4f45.6209,b8a4.4f45.6209,eth0,axis-b8a44f456209,,Te2/0/41
10.120.0.11,b8a4.4f45.70b4,b8a4.4f45.70b4,eth0,axis-b8a44f4570b4,,
,,,,,,Gi1/1/2
10.120.0.16,0008.e3ff.fd90,Te2/1/8,TBMNC-TC-LOG-SW1A-Te2/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Gi1/0/1
10.120.0.16,CR-TBMNC-CABIN,908d.6e95.2ccd,,,,Gi1/1/1
10.120.0.16,0008.e3ff.fd90,Te1/1/8,TBMNC-TC-LOG-SW1A-Te1/1/1,TBMNC-TC-CORE-SW1A.toyota.com,,Te1/0/48
